"item","BA S/E DON GOYO 220KV BP2","BA S/E NUEVA PAN DE AZUCAR 220KV BPA","addValue"
"2023-06-06 20","208.16","209.54",""
"2023-06-06 21","175.42","176.58",""
"2023-06-06 22","161.36","162.43",""
"2023-06-06 23","161.36","162.43",""
"2023-06-06 24","148.27","149.26",""
"2023-06-07 01","130.87","130.70",""
"2023-06-07 02","115.80","115.65",""
"2023-06-07 03","119.53","119.37",""
"2023-06-07 04","128.23","128.06",""
"2023-06-07 05","128.23","128.06",""
"2023-06-07 06","142.10","141.92",""
"2023-06-07 07","150.76","150.57",""
"2023-06-07 08","150.76","150.57",""
"2023-06-07 09","80.78","81.03",""
"2023-06-07 10","0.00","0.00",""
"2023-06-07 11","4.37","4.38",""
"2023-06-07 12","87.69","87.96",""
"2023-06-07 13","72.27","72.49",""
"2023-06-07 14","0.00","0.00",""
"2023-06-07 15","0.00","0.00",""
"2023-06-07 16","0.00","0.00",""
"2023-06-07 17","45.77","45.92",""
"2023-06-07 18","157.31","157.80",""
"2023-06-07 19","187.85","187.82",""
"2023-06-07 20","158.33","158.30",""
"2023-06-07 21","155.30","155.27",""
"2023-06-07 22","132.22","132.20",""
"2023-06-07 23","131.68","131.65",""
"2023-06-07 24","130.59","130.56",""
"2023-06-08 01","118.30","119.67",""
"2023-06-08 02","111.44","112.73",""
"2023-06-08 03","120.77","122.16",""
"2023-06-08 04","118.85","120.22",""
"2023-06-08 05","98.48","99.61",""
"2023-06-08 06","107.52","108.76",""
"2023-06-08 07","128.53","130.01",""
"2023-06-08 08","145.62","147.30",""
"2023-06-08 09","98.09","99.89",""
"2023-06-08 10","14.32","14.58",""
"2023-06-08 11","78.19","79.62",""
"2023-06-08 12","77.48","78.90",""
"2023-06-08 13","70.84","72.14",""
"2023-06-08 14","8.32","8.47",""
"2023-06-08 15","0.00","0.00",""
"2023-06-08 16","0.00","0.00",""
"2023-06-08 17","52.64","53.60",""
"2023-06-08 18","141.22","143.80",""
"2023-06-08 19","135.53","136.41",""
"2023-06-08 20","134.97","135.85",""
"2023-06-08 21","132.38","133.24",""
"2023-06-08 22","122.69","123.49",""
"2023-06-08 23","117.12","117.88",""
"2023-06-08 24","110.00","110.72",""
"2023-06-09 01","88.93","89.17",""
"2023-06-09 02","95.66","95.92",""
"2023-06-09 03","55.48","55.63",""
"2023-06-09 04","51.74","51.88",""
"2023-06-09 05","79.66","79.88",""
"2023-06-09 06","82.95","83.18",""
"2023-06-09 07","102.75","103.03",""
"2023-06-09 08","110.56","110.86",""
"2023-06-09 09","32.22","32.97",""
"2023-06-09 10","0.00","0.00",""
"2023-06-09 11","0.00","0.00",""
"2023-06-09 12","0.00","0.00",""
"2023-06-09 13","0.00","0.00",""
"2023-06-09 14","0.00","0.00",""
"2023-06-09 15","0.00","0.00",""
"2023-06-09 16","0.00","0.00",""
"2023-06-09 17","19.00","19.45",""
"2023-06-09 18","124.86","127.80",""
"2023-06-09 19","113.97","118.03",""
"2023-06-09 20","99.23","102.76",""
"2023-06-09 21","102.08","105.72",""
"2023-06-09 22","123.00","127.38",""
"2023-06-09 23","119.25","123.49",""
"2023-06-09 24","106.31","110.09",""
"2023-06-10 01","95.91","99.34",""
"2023-06-10 02","87.96","91.11",""
"2023-06-10 03","84.28","87.30",""
"2023-06-10 04","75.75","78.47",""
"2023-06-10 05","83.52","86.50",""
"2023-06-10 06","103.27","106.97",""
"2023-06-10 07","105.72","109.51",""
"2023-06-10 08","101.44","105.07",""
"2023-06-10 09","41.31","43.11",""
"2023-06-10 10","0.00","0.00",""
"2023-06-10 11","0.00","0.00",""
"2023-06-10 12","0.00","0.00",""
"2023-06-10 13","0.00","0.00",""
"2023-06-10 14","0.00","0.00",""
"2023-06-10 15","0.00","0.00",""
"2023-06-10 16","0.00","0.00",""
"2023-06-10 17","5.61","5.85",""
"2023-06-10 18","112.42","117.30",""
"2023-06-10 19","115.29","119.61",""
"2023-06-10 20","111.79","115.98",""
"2023-06-10 21","111.79","115.98",""
"2023-06-10 22","111.79","115.98",""
"2023-06-10 23","111.79","115.98",""
"2023-06-10 24","108.54","112.61",""
"2023-06-11 01","104.03","107.36",""
"2023-06-11 02","85.74","88.49",""
"2023-06-11 03","71.38","73.67",""
"2023-06-11 04","83.16","85.82",""
"2023-06-11 05","84.04","86.73",""
"2023-06-11 06","85.67","88.41",""
"2023-06-11 07","83.16","85.82",""
"2023-06-11 08","59.97","61.89",""
"2023-06-11 09","0.00","0.00",""
"2023-06-11 10","0.00","0.00",""
"2023-06-11 11","0.00","0.00",""
"2023-06-11 12","0.00","0.00",""
"2023-06-11 13","0.00","0.00",""
"2023-06-11 14","0.00","0.00",""
"2023-06-11 15","0.00","0.00",""
"2023-06-11 16","0.00","0.00",""
"2023-06-11 17","0.00","0.00",""
"2023-06-11 18","120.49","124.87",""
"2023-06-11 19","137.60","141.92",""
"2023-06-11 20","137.60","141.92",""
"2023-06-11 21","137.60","141.92",""
"2023-06-11 22","137.60","141.92",""
"2023-06-11 23","137.60","141.92",""
"2023-06-11 24","128.53","132.57",""
"2023-06-12 01","111.54","114.00",""
"2023-06-12 02","112.19","114.66",""
"2023-06-12 03","112.40","114.88",""
"2023-06-12 04","108.14","110.53",""
"2023-06-12 05","119.09","121.72",""
"2023-06-12 06","116.54","119.11",""
"2023-06-12 07","140.63","143.73",""
"2023-06-12 08","142.26","145.40",""
"2023-06-12 09","101.59","104.48",""
"2023-06-12 10","88.11","90.61",""
"2023-06-12 11","128.48","132.14",""
"2023-06-12 12","50.43","51.86",""
"2023-06-12 13","50.15","51.58",""
"2023-06-12 14","51.82","53.30",""
"2023-06-12 15","43.56","44.79",""
"2023-06-12 16","0.00","0.00",""
"2023-06-12 17","58.56","60.22",""
"2023-06-12 18","133.85","137.66",""
"2023-06-12 19","142.56","144.74",""
"2023-06-12 20","142.56","144.74",""
"2023-06-12 21","151.83","154.15",""
"2023-06-12 22","146.34","148.58",""
"2023-06-12 23","142.56","144.74",""
"2023-06-12 24","142.56","144.74",""
"2023-06-13 01","145.76","145.96",""
"2023-06-13 02","144.34","144.54",""
"2023-06-13 03","140.96","141.16",""
"2023-06-13 04","128.81","128.99",""
"2023-06-13 05","114.77","114.93",""
"2023-06-13 06","122.16","122.33",""
"2023-06-13 07","148.65","148.87",""
"2023-06-13 08","149.65","149.87",""
"2023-06-13 09","79.40","80.18",""
"2023-06-13 10","89.75","90.64",""
"2023-06-13 11","106.12","107.16",""
"2023-06-13 12","102.82","103.84",""
"2023-06-13 13","46.81","47.27",""
"2023-06-13 14","0.00","0.00",""
"2023-06-13 15","0.00","0.00",""
"2023-06-13 16","0.00","0.00",""
"2023-06-13 17","35.74","36.09",""
"2023-06-13 18","142.78","144.19",""
"2023-06-13 19","147.40","149.24",""
"2023-06-13 20","147.40","149.24",""
"2023-06-13 21","147.40","149.24",""
"2023-06-13 22","147.40","149.24",""
"2023-06-13 23","147.40","149.24",""
"2023-06-13 24","146.15","147.97",""
"2023-06-14 01","139.37","140.19",""
"2023-06-14 02","139.37","140.19",""
"2023-06-14 03","139.37","140.19",""
"2023-06-14 04","136.50","137.30",""
"2023-06-14 05","134.30","135.09",""
"2023-06-14 06","134.63","135.42",""
"2023-06-14 07","151.89","152.78",""
"2023-06-14 08","160.55","161.49",""
"2023-06-14 09","96.75","97.67",""
"2023-06-14 10","18.70","18.88",""
"2023-06-14 11","90.06","90.92",""
"2023-06-14 12","96.50","97.42",""
"2023-06-14 13","89.37","90.22",""
"2023-06-14 14","78.02","78.76",""
"2023-06-14 15","50.27","50.75",""
"2023-06-14 16","33.72","34.04",""
"2023-06-14 17","61.07","61.66",""
"2023-06-14 18","155.05","156.53",""
"2023-06-14 19","160.58","162.14",""
"2023-06-14 20","160.58","162.14",""
"2023-06-14 21","152.54","154.01",""
"2023-06-14 22","152.54","154.01",""
"2023-06-14 23","154.46","155.96",""
"2023-06-14 24","125.69","126.91",""
"2023-06-15 01","122.74","124.46",""
"2023-06-15 02","114.11","115.71",""
"2023-06-15 03","113.49","115.08",""
"2023-06-15 04","111.44","113.00",""
"2023-06-15 05","105.20","106.67",""
"2023-06-15 06","121.98","123.69",""
"2023-06-15 07","128.17","129.96",""
"2023-06-15 08","136.25","138.16",""
"2023-06-15 09","42.10","43.32",""
"2023-06-15 10","0.00","0.00",""
"2023-06-15 11","0.00","0.00",""
"2023-06-15 12","21.07","21.67",""
"2023-06-15 13","48.10","49.49",""
"2023-06-15 14","4.81","4.95",""
"2023-06-15 15","0.00","0.00",""
"2023-06-15 16","0.00","0.00",""
"2023-06-15 17","43.91","45.18",""
"2023-06-15 18","125.47","129.09",""
"2023-06-15 19","124.25","127.61",""
"2023-06-15 20","131.82","135.38",""
"2023-06-15 21","139.88","143.66",""
"2023-06-15 22","133.80","137.41",""
"2023-06-15 23","109.99","112.97",""
"2023-06-15 24","107.48","110.38",""
"2023-06-16 01","106.76","108.98",""
"2023-06-16 02","104.42","106.59",""
"2023-06-16 03","103.30","105.44",""
"2023-06-16 04","98.46","100.50",""
"2023-06-16 05","104.44","106.61",""
"2023-06-16 06","110.41","112.69",""
"2023-06-16 07","118.80","121.26",""
"2023-06-16 08","119.24","121.71",""
"2023-06-16 09","70.24","71.83",""
"2023-06-16 10","50.48","51.63",""
"2023-06-16 11","60.52","61.90",""
"2023-06-16 12","98.13","100.35",""
"2023-06-16 13","107.36","109.79",""
"2023-06-16 14","86.60","88.56",""
"2023-06-16 15","70.23","71.82",""
"2023-06-16 16","30.32","31.00",""
"2023-06-16 17","23.58","24.12",""
"2023-06-16 18","101.16","103.45",""
"2023-06-16 19","130.88","132.63",""
"2023-06-16 20","135.01","136.81",""
"2023-06-16 21","139.27","141.13",""
"2023-06-16 22","140.98","142.87",""
"2023-06-16 23","139.21","141.08",""
"2023-06-16 24","140.71","142.59",""
"2023-06-17 01","128.66","129.59",""
"2023-06-17 02","128.61","129.54",""
"2023-06-17 03","128.32","129.25",""
"2023-06-17 04","139.90","140.92",""
"2023-06-17 05","140.62","141.64",""
"2023-06-17 06","144.10","145.15",""
"2023-06-17 07","144.10","145.15",""
"2023-06-17 08","144.10","145.15",""
"2023-06-17 09","86.15","86.65",""
"2023-06-17 10","0.00","0.00",""
"2023-06-17 11","58.39","58.72",""
"2023-06-17 12","74.54","74.96",""
"2023-06-17 13","74.54","74.96",""
"2023-06-17 14","55.91","56.22",""
"2023-06-17 15","0.00","0.00",""
"2023-06-17 16","0.00","0.00",""
"2023-06-17 17","11.29","11.36",""
"2023-06-17 18","140.08","140.88",""
"2023-06-17 19","153.94","155.31",""
"2023-06-17 20","146.23","147.53",""
"2023-06-17 21","141.83","143.09",""
"2023-06-17 22","141.83","143.09",""
"2023-06-17 23","141.83","143.09",""
"2023-06-17 24","141.83","143.09",""
"2023-06-18 01","116.98","118.11",""
"2023-06-18 02","112.23","113.32",""
"2023-06-18 03","111.75","112.83",""
"2023-06-18 04","111.75","112.83",""
"2023-06-18 05","111.75","112.83",""
"2023-06-18 06","111.75","112.83",""
"2023-06-18 07","112.57","113.66",""
"2023-06-18 08","115.24","116.36",""
"2023-06-18 09","44.60","45.56",""
"2023-06-18 10","36.10","36.88",""
"2023-06-18 11","0.00","0.00",""
"2023-06-18 12","0.00","0.00",""
"2023-06-18 13","0.00","0.00",""
"2023-06-18 14","0.00","0.00",""
"2023-06-18 15","0.00","0.00",""
"2023-06-18 16","0.00","0.00",""
"2023-06-18 17","110.49","112.89",""
"2023-06-18 18","138.06","141.05",""
"2023-06-18 19","149.19","152.22",""
"2023-06-18 20","140.04","142.89",""
"2023-06-18 21","142.06","144.95",""
"2023-06-18 22","142.06","144.95",""
"2023-06-18 23","140.04","142.89",""
"2023-06-18 24","140.04","142.89",""
"2023-06-19 01","155.15","156.61",""
"2023-06-19 02","153.40","154.84",""
"2023-06-19 03","140.79","142.12",""
"2023-06-19 04","133.82","135.09",""
"2023-06-19 05","149.73","151.14",""
"2023-06-19 06","152.44","153.87",""
"2023-06-19 07","157.16","158.63",""
"2023-06-19 08","157.16","158.63",""
"2023-06-19 09","154.49","155.22",""
"2023-06-19 10","143.47","144.14",""
"2023-06-19 11","110.39","110.91",""
"2023-06-19 12","110.39","110.91",""
"2023-06-19 13","110.39","110.91",""
"2023-06-19 14","103.96","104.45",""
"2023-06-19 15","85.48","85.88",""
"2023-06-19 16","85.70","86.11",""
"2023-06-19 17","149.07","149.77",""
"2023-06-19 18","155.07","155.81",""
"2023-06-19 19","178.36","178.34",""
"2023-06-19 20","224.31","224.28",""
"2023-06-19 21","224.27","224.24",""
"2023-06-19 22","175.58","175.56",""
"2023-06-19 23","164.92","164.90",""
"2023-06-19 24","160.92","160.90",""
"2023-06-20 01","125.96","125.93",""
"2023-06-20 02","116.87","116.85",""
"2023-06-20 03","122.87","122.84",""
"2023-06-20 04","126.61","126.58",""
"2023-06-20 05","152.39","152.36",""
"2023-06-20 06","152.62","152.59",""
"2023-06-20 07","152.92","152.89",""
"2023-06-20 08","153.31","153.28",""
"2023-06-20 09","130.86","131.92",""
"2023-06-20 10","129.53","130.58",""
"2023-06-20 11","145.79","146.97",""
"2023-06-20 12","126.33","127.35",""
"2023-06-20 13","94.51","95.28",""
"2023-06-20 14","92.73","93.48",""
"2023-06-20 15","23.18","23.37",""
"2023-06-20 16","9.72","9.80",""
"2023-06-20 17","145.79","146.97",""
"2023-06-20 18","145.79","146.97",""
"2023-06-20 19","156.98","157.93",""
"2023-06-20 20","156.98","157.93",""
"2023-06-20 21","155.34","156.28",""
"2023-06-20 22","150.01","150.92",""
"2023-06-20 23","147.36","148.25",""
"2023-06-20 24","153.81","154.74",""
"2023-06-21 01","113.32","113.84",""
"2023-06-21 02","109.49","110.00",""
"2023-06-21 03","117.68","118.22",""
"2023-06-21 04","119.60","120.15",""
"2023-06-21 05","112.29","112.81",""
"2023-06-21 06","110.20","110.72",""
"2023-06-21 07","107.37","107.87",""
"2023-06-21 08","106.97","107.47",""
"2023-06-21 09","66.54","67.36",""
"2023-06-21 10","23.87","24.16",""
"2023-06-21 11","100.44","101.67",""
"2023-06-21 12","104.71","106.00",""
"2023-06-21 13","106.20","107.50",""
"2023-06-21 14","103.52","104.80",""
"2023-06-21 15","84.24","85.28",""
"2023-06-21 16","115.07","116.48",""
"2023-06-21 17","102.64","103.90",""
"2023-06-21 18","117.22","118.66",""
"2023-06-21 19","123.92","125.13",""
"2023-06-21 20","123.92","125.13",""
"2023-06-21 21","123.92","125.13",""
"2023-06-21 22","123.92","125.13",""
"2023-06-21 23","123.92","125.13",""
"2023-06-21 24","123.92","125.13",""
"2023-06-22 01","111.80","112.74",""
"2023-06-22 02","111.80","112.74",""
"2023-06-22 03","107.07","107.97",""
"2023-06-22 04","92.33","93.10",""
"2023-06-22 05","99.34","100.18",""
"2023-06-22 06","103.64","104.51",""
"2023-06-22 07","111.80","112.74",""
"2023-06-22 08","111.80","112.74",""
"2023-06-22 09","66.40","67.36",""
"2023-06-22 10","0.00","0.00",""
"2023-06-22 11","60.09","60.96",""
"2023-06-22 12","49.54","50.26",""
"2023-06-22 13","67.63","68.61",""
"2023-06-22 14","68.32","69.31",""
"2023-06-22 15","50.11","50.84",""
"2023-06-22 16","49.54","50.26",""
"2023-06-22 17","66.11","67.07",""
"2023-06-22 18","109.49","111.08",""
"2023-06-22 19","117.59","118.96",""
"2023-06-22 20","117.57","118.94",""
"2023-06-22 21","117.57","118.94",""
"2023-06-22 22","100.39","101.56",""
"2023-06-22 23","100.39","101.56",""
"2023-06-22 24","100.39","101.56",""
"2023-06-23 01","99.11","99.73",""
"2023-06-23 02","93.98","94.57",""
"2023-06-23 03","86.75","87.30",""
"2023-06-23 04","86.75","87.30",""
"2023-06-23 05","92.59","93.17",""
"2023-06-23 06","103.44","104.08",""
"2023-06-23 07","103.73","104.37",""
"2023-06-23 08","98.50","99.12",""
"2023-06-23 09","46.52","47.52",""
"2023-06-23 10","1.81","1.85",""
"2023-06-23 11","53.79","54.95",""
"2023-06-23 12","55.35","56.56",""
"2023-06-23 13","68.44","69.92",""
"2023-06-23 14","54.39","55.57",""
"2023-06-23 15","53.08","54.24",""
"2023-06-23 16","2.62","2.68",""
"2023-06-23 17","33.36","34.09",""
"2023-06-23 18","108.04","110.39",""
"2023-06-23 19","97.85","99.92",""
"2023-06-23 20","96.14","98.18",""
"2023-06-23 21","104.34","106.55",""
"2023-06-23 22","94.05","96.04",""
"2023-06-23 23","90.82","92.74",""
"2023-06-23 24","110.48","112.81",""
"2023-06-24 01","80.62","82.13",""
"2023-06-24 02","76.24","77.67",""
"2023-06-24 03","79.84","81.34",""
"2023-06-24 04","91.71","93.43",""
"2023-06-24 05","97.85","99.69",""
"2023-06-24 06","97.85","99.69",""
"2023-06-24 07","86.38","88.00",""
"2023-06-24 08","76.40","77.83",""
"2023-06-24 09","17.38","17.83",""
"2023-06-24 10","0.00","0.00",""
"2023-06-24 11","0.00","0.00",""
"2023-06-24 12","0.00","0.00",""
"2023-06-24 13","0.00","0.00",""
"2023-06-24 14","0.00","0.00",""
"2023-06-24 15","0.00","0.00",""
"2023-06-24 16","0.00","0.00",""
"2023-06-24 17","0.00","0.00",""
"2023-06-24 18","112.97","115.87",""
"2023-06-24 19","135.91","138.59",""
"2023-06-24 20","115.99","118.28",""
"2023-06-24 21","91.05","92.84",""
"2023-06-24 22","82.79","84.42",""
"2023-06-24 23","107.44","109.56",""
"2023-06-24 24","81.82","83.44",""
"2023-06-25 01","75.59","76.67",""
"2023-06-25 02","78.67","79.79",""
"2023-06-25 03","78.67","79.79",""
"2023-06-25 04","72.27","73.31",""
"2023-06-25 05","66.21","67.15",""
"2023-06-25 06","74.96","76.03",""
"2023-06-25 07","69.51","70.51",""
"2023-06-25 08","58.56","59.40",""
"2023-06-25 09","6.17","6.31",""
"2023-06-25 10","0.00","0.00",""
"2023-06-25 11","0.00","0.00",""
"2023-06-25 12","0.00","0.00",""
"2023-06-25 13","0.00","0.00",""
"2023-06-25 14","0.00","0.00",""
"2023-06-25 15","0.00","0.00",""
"2023-06-25 16","0.00","0.00",""
"2023-06-25 17","0.00","0.00",""
"2023-06-25 18","59.66","60.97",""
"2023-06-25 19","108.63","111.23",""
"2023-06-25 20","84.44","86.46",""
"2023-06-25 21","79.02","80.91",""
"2023-06-25 22","77.13","78.97",""
"2023-06-25 23","77.13","78.97",""
"2023-06-25 24","77.13","78.97",""
"2023-06-26 01","76.96","78.59",""
"2023-06-26 02","77.76","79.41",""
"2023-06-26 03","68.73","70.18",""
"2023-06-26 04","57.75","58.97",""
"2023-06-26 05","57.75","58.97",""
"2023-06-26 06","60.37","61.65",""
"2023-06-26 07","62.98","64.32",""
"2023-06-26 08","57.73","58.96",""
"2023-06-26 09","0.00","0.00",""
"2023-06-26 10","0.00","0.00",""
"2023-06-26 11","0.00","0.00",""
"2023-06-26 12","0.00","0.00",""
"2023-06-26 13","0.00","0.00",""
"2023-06-26 14","0.00","0.00",""
"2023-06-26 15","0.00","0.00",""
"2023-06-26 16","0.00","0.00",""
"2023-06-26 17","0.00","0.00",""
"2023-06-26 18","62.91","64.77",""
"2023-06-26 19","116.20","119.52",""
"2023-06-26 20","118.06","121.43",""
"2023-06-26 21","118.63","122.01",""
"2023-06-26 22","112.79","116.01",""
"2023-06-26 23","82.21","84.56",""
"2023-06-26 24","80.72","83.03",""
"2023-06-27 01","74.85","77.00",""
"2023-06-27 02","56.00","57.60",""
"2023-06-27 03","56.00","57.60",""
"2023-06-27 04","56.17","57.78",""
"2023-06-27 05","58.04","59.70",""
"2023-06-27 06","58.72","60.39",""
"2023-06-27 07","72.91","74.99",""
"2023-06-27 08","90.92","93.52",""
"2023-06-27 09","37.52","39.20",""
"2023-06-27 10","0.00","0.00",""
"2023-06-27 11","0.00","0.00",""
"2023-06-27 12","0.00","0.00",""
"2023-06-27 13","0.00","0.00",""
"2023-06-27 14","0.00","0.00",""
"2023-06-27 15","0.00","0.00",""
"2023-06-27 16","0.00","0.00",""
"2023-06-27 17","15.24","15.92",""
"2023-06-27 18","83.45","87.18",""
"2023-06-27 19","91.13","94.18",""
"2023-06-27 20","87.11","90.02",""
"2023-06-27 21","86.94","89.84",""
"2023-06-27 22","111.70","115.43",""
"2023-06-27 23","96.28","99.49",""
"2023-06-27 24","83.85","86.65",""
"2023-06-28 01","80.69","82.37",""
"2023-06-28 02","73.71","75.24",""
"2023-06-28 03","72.67","74.18",""
"2023-06-28 04","62.40","63.70",""
"2023-06-28 05","56.46","57.63",""
"2023-06-28 06","67.62","69.02",""
"2023-06-28 07","89.09","90.94",""
"2023-06-28 08","111.01","113.31",""
"2023-06-28 09","39.80","40.67",""
"2023-06-28 10","0.00","0.00",""
"2023-06-28 11","0.00","0.00",""
"2023-06-28 12","26.30","26.87",""
"2023-06-28 13","66.80","68.25",""
"2023-06-28 14","74.75","76.37",""
"2023-06-28 15","71.65","73.20",""
"2023-06-28 16","51.99","53.12",""
"2023-06-28 17","104.65","106.92",""
"2023-06-28 18","156.96","160.36",""
"2023-06-28 19","173.46","177.90",""
"2023-06-28 20","134.49","137.93",""
"2023-06-28 21","118.32","121.35",""
"2023-06-28 22","124.92","128.11",""
"2023-06-28 23","107.04","109.77",""
"2023-06-28 24","111.62","114.47",""
"2023-06-29 01","95.56","98.02",""
"2023-06-29 02","66.09","67.79",""
"2023-06-29 03","57.23","58.69",""
"2023-06-29 04","56.69","58.14",""
"2023-06-29 05","56.39","57.83",""
"2023-06-29 06","55.95","57.39",""
"2023-06-29 07","65.80","67.49",""
"2023-06-29 08","71.06","72.89",""
"2023-06-29 09","36.56","37.66",""
"2023-06-29 10","0.00","0.00",""
"2023-06-29 11","0.00","0.00",""
"2023-06-29 12","0.00","0.00",""
"2023-06-29 13","0.00","0.00",""
"2023-06-29 14","0.00","0.00",""
"2023-06-29 15","0.00","0.00",""
"2023-06-29 16","0.00","0.00",""
"2023-06-29 17","26.79","27.60",""
"2023-06-29 18","142.42","146.72",""
"2023-06-29 19","245.57","253.53",""
"2023-06-29 20","151.81","156.73",""
"2023-06-29 21","137.48","141.94",""
"2023-06-29 22","108.49","112.00",""
"2023-06-29 23","114.89","118.61",""
"2023-06-29 24","116.64","120.42",""
"2023-06-30 01","83.65","85.58",""
"2023-06-30 02","81.36","83.23",""
"2023-06-30 03","78.04","79.83",""
"2023-06-30 04","68.32","69.88",""
"2023-06-30 05","67.93","69.49",""
"2023-06-30 06","73.54","75.23",""
"2023-06-30 07","83.65","85.58",""
"2023-06-30 08","85.91","87.88",""
"2023-06-30 09","37.04","38.11",""
"2023-06-30 10","0.00","0.00",""
"2023-06-30 11","0.00","0.00",""
"2023-06-30 12","0.00","0.00",""
"2023-06-30 13","0.00","0.00",""
"2023-06-30 14","0.00","0.00",""
"2023-06-30 15","0.00","0.00",""
"2023-06-30 16","0.00","0.00",""
"2023-06-30 17","39.77","40.92",""
"2023-06-30 18","138.84","142.83",""
"2023-06-30 19","163.18","167.22",""
"2023-06-30 20","135.67","139.03",""
"2023-06-30 21","130.82","134.06",""
"2023-06-30 22","130.82","134.06",""
"2023-06-30 23","126.76","129.90",""
"2023-06-30 24","106.48","109.12",""
"2023-07-01 01","96.41","97.07",""
"2023-07-01 02","86.27","86.86",""
"2023-07-01 03","85.85","86.44",""
"2023-07-01 04","82.07","82.63",""
"2023-07-01 05","82.07","82.63",""
"2023-07-01 06","82.07","82.63",""
"2023-07-01 07","82.07","82.63",""
"2023-07-01 08","81.35","81.90",""
"2023-07-01 09","0.00","0.00",""
"2023-07-01 10","0.00","0.00",""
"2023-07-01 11","0.00","0.00",""
"2023-07-01 12","0.00","0.00",""
"2023-07-01 13","0.00","0.00",""
"2023-07-01 14","0.00","0.00",""
"2023-07-01 15","0.00","0.00",""
"2023-07-01 16","0.00","0.00",""
"2023-07-01 17","0.00","0.00",""
"2023-07-01 18","80.51","80.87",""
"2023-07-01 19","119.26","119.46",""
"2023-07-01 20","97.26","97.43",""
"2023-07-01 21","89.21","89.37",""
"2023-07-01 22","89.21","89.37",""
"2023-07-01 23","94.10","94.27",""
"2023-07-01 24","93.17","93.33",""
"2023-07-02 01","76.14","76.22",""
"2023-07-02 02","69.26","69.33",""
"2023-07-02 03","68.05","68.12",""
"2023-07-02 04","67.13","67.20",""
"2023-07-02 05","67.13","67.20",""
"2023-07-02 06","68.44","68.51",""
"2023-07-02 07","68.03","68.10",""
"2023-07-02 08","62.33","62.39",""
"2023-07-02 09","0.00","0.00",""
"2023-07-02 10","0.00","0.00",""
"2023-07-02 11","0.00","0.00",""
"2023-07-02 12","0.00","0.00",""
"2023-07-02 13","0.00","0.00",""
"2023-07-02 14","0.00","0.00",""
"2023-07-02 15","0.00","0.00",""
"2023-07-02 16","0.00","0.00",""
"2023-07-02 17","0.00","0.00",""
"2023-07-02 18","48.01","48.38",""
"2023-07-02 19","130.25","131.26",""
"2023-07-02 20","133.06","134.10",""
"2023-07-02 21","133.06","134.10",""
"2023-07-02 22","98.79","99.57",""
"2023-07-02 23","86.82","87.51",""
"2023-07-02 24","83.17","83.82",""
"2023-07-03 01","82.48","83.07",""
"2023-07-03 02","80.87","81.45",""
"2023-07-03 03","75.60","76.14",""
"2023-07-03 04","75.60","76.14",""
"2023-07-03 05","71.29","71.81",""
"2023-07-03 06","64.58","65.05",""
"2023-07-03 07","71.77","72.29",""
"2023-07-03 08","75.92","76.46",""
"2023-07-03 09","0.00","0.00",""
"2023-07-03 10","0.00","0.00",""
"2023-07-03 11","0.00","0.00",""
"2023-07-03 12","0.00","0.00",""
"2023-07-03 13","0.00","0.00",""
"2023-07-03 14","0.00","0.00",""
"2023-07-03 15","0.00","0.00",""
"2023-07-03 16","0.00","0.00",""
"2023-07-03 17","3.80","3.88",""
"2023-07-03 18","98.74","100.85",""
"2023-07-03 19","99.72","101.34",""
"2023-07-03 20","85.16","86.55",""
"2023-07-03 21","106.26","107.99",""
"2023-07-03 22","112.28","114.11",""
"2023-07-03 23","112.28","114.11",""
"2023-07-03 24","102.62","104.29",""
"2023-07-04 01","83.89","84.70",""
"2023-07-04 02","68.24","68.90",""
"2023-07-04 03","68.24","68.90",""
"2023-07-04 04","68.24","68.90",""
"2023-07-04 05","68.24","68.90",""
"2023-07-04 06","71.79","72.48",""
"2023-07-04 07","76.12","76.86",""
"2023-07-04 08","75.99","76.72",""
"2023-07-04 09","33.65","34.34",""
"2023-07-04 10","0.00","0.00",""
"2023-07-04 11","0.00","0.00",""
"2023-07-04 12","0.00","0.00",""
"2023-07-04 13","0.00","0.00",""
"2023-07-04 14","0.00","0.00",""
"2023-07-04 15","0.00","0.00",""
"2023-07-04 16","0.00","0.00",""
"2023-07-04 17","9.51","9.70",""
"2023-07-04 18","116.33","118.69",""
"2023-07-04 19","131.27","133.89",""
"2023-07-04 20","93.62","95.48",""
"2023-07-04 21","88.34","90.10",""
"2023-07-04 22","91.96","93.79",""
"2023-07-04 23","95.55","97.46",""
"2023-07-04 24","83.75","85.43",""
"2023-07-05 01","77.37","78.32",""
"2023-07-05 02","64.34","65.15",""
"2023-07-05 03","57.37","58.09",""
"2023-07-05 04","57.01","57.72",""
"2023-07-05 05","47.07","47.66",""
"2023-07-05 06","52.50","53.15",""
"2023-07-05 07","75.79","76.72",""
"2023-07-05 08","66.81","67.64",""
"2023-07-05 09","0.00","0.00",""
"2023-07-05 10","0.00","0.00",""
"2023-07-05 11","0.00","0.00",""
"2023-07-05 12","0.00","0.00",""
"2023-07-05 13","0.00","0.00",""
"2023-07-05 14","0.00","0.00",""
"2023-07-05 15","0.00","0.00",""
"2023-07-05 16","0.00","0.00",""
"2023-07-05 17","4.14","4.22",""
"2023-07-05 18","132.93","135.73",""
"2023-07-05 19","124.42","126.70",""
"2023-07-05 20","98.82","100.63",""
