Hora;G solar;;Fact;0,907407407
7;0,091515402;;;
8;0,83601005;;;
9;1,252844762;;;
10;0,498249904;;;
11;1,343772045;;;
12;2,305196841;;;
13;7,069989684;;;
14;4,127636975;;;
15;4,018083991;;;
16;5,480540131;;;
17;7,273348468;;;
18;6,44729865;;;
19;2,810291974;;;
20;0,146689807;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;1,248526986;;;
8;5,98546594;;;
9;7,555273844;;;
10;8,052664711;;;
11;8,109303773;;;
12;8,151550248;;;
13;8,100498896;;;
14;8,022778928;;;
15;7,930412385;;;
16;6,898971888;;;
17;4,239814489;;;
18;4,208658772;;;
19;2,946513575;;;
20;0,124482892;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;1,20255537;;;
8;5,990545676;;;
9;7,569666431;;;
10;8,077301433;;;
11;8,124119671;;;
12;8,083058467;;;
13;8,040642668;;;
14;7,980024479;;;
15;7,906368299;;;
16;7,780560158;;;
17;7,528351241;;;
18;6,648540878;;;
19;2,931867001;;;
20;0,116660098;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;1,128306555;;;
8;5,91291037;;;
9;7,565433317;;;
10;8,070951762;;;
11;8,110489045;;;
12;8,064432767;;;
13;8,042674562;;;
14;7,982987658;;;
15;7,913733917;;;
16;7,781068132;;;
17;7,520392987;;;
18;6,645916348;;;
19;2,892414381;;;
20;0,11681249;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;1,01722965;;;
8;5,806828539;;;
9;7,542997815;;;
10;8,088561515;;;
11;8,142660709;;;
12;8,118277974;;;
13;8,09804369;;;
14;8,032007116;;;
15;7,958689585;;;
16;7,815102367;;;
17;7,561623515;;;
18;6,686215591;;;
19;2,817149619;;;
20;0,124449027;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,817265823;;;
8;5,320697756;;;
9;7,270215964;;;
10;7,923978052;;;
11;8,071375073;;;
12;8,044621795;;;
13;8,011603507;;;
14;7,975114067;;;
15;7,938455302;;;
16;7,797238627;;;
17;7,236605041;;;
18;4,324138115;;;
19;1,352238273;;;
20;0,169082978;;;
21;-0,008115164;;;
