Hora;G solar;;;1
6;-0,01;;;
7;0,107982302;;;
8;4,134455668;;;
9;8,151842238;;;
10;9,003872884;;;
11;9,168082047;;;
12;9,134697719;;;
13;8,962142474;;;
14;8,89662573;;;
15;8,934496077;;;
16;8,818589863;;;
17;8,50529881;;;
18;6,576623587;;;
19;1,05975906;;;
20;0,023471962;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,101430627;;;
8;2,68776668;;;
9;5,985616655;;;
10;4,470594121;;;
11;4,794317776;;;
12;5,266497365;;;
13;3,752100787;;;
14;5,391375617;;;
15;7,039100855;;;
16;6,375274358;;;
17;6,953449189;;;
18;5,812644106;;;
19;0,916957597;;;
20;0,024080183;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,079538854;;;
8;2,362269482;;;
9;7,074989008;;;
10;8,979356268;;;
11;7,545603707;;;
12;8,034892764;;;
13;8,588863956;;;
14;8,807426979;;;
15;9,022755894;;;
16;8,451570907;;;
17;8,488293668;;;
18;6,450806401;;;
19;0,913692193;;;
20;0,017894693;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,076512356;;;
8;3,815113706;;;
9;8,134524118;;;
10;9,350756917;;;
11;9,425871655;;;
12;9,362441432;;;
13;9,207308632;;;
14;9,124995399;;;
15;9,104443172;;;
16;9,02338185;;;
17;8,828187858;;;
18;6,792995762;;;
19;0,838859135;;;
20;0,013135339;;;
21;-0,01;;;
22;-0,01;;;
23;-0,01;;;
0;-0,01;;;
1;-0,01;;;
2;-0,01;;;
3;-0,01;;;
4;-0,01;;;
5;-0,01;;;
6;-0,01;;;
7;0,081779777;;;
8;4,475184466;;;
9;8,93783451;;;
10;9,501821001;;;
11;9,575162196;;;
12;9,458838679;;;
13;9,286596411;;;
14;9,226191643;;;
15;9,243614089;;;
16;9,193015967;;;
17;8,953900718;;;
18;6,93373157;;;
19;0,75842377;;;
20;0,007672829;;;
21;-0,01;;;
22;-0,01;;;
