"item","Pan de Azúcar","BA S/E DON GOYO 220KV BP2","addValue"
"2023-01-15 17","0.00","0.00",""
"2023-01-15 18","0.00","0.00",""
"2023-01-15 19","0.00","0.00",""
"2023-01-15 20","53.54","52.64",""
"2023-01-15 21","152.98","150.41",""
"2023-01-15 22","152.98","150.41",""
"2023-01-15 23","152.98","150.41",""
"2023-01-15 24","173.33","170.42",""
"2023-01-16 01","186.83","185.50",""
"2023-01-16 02","167.48","166.29",""
"2023-01-16 03","167.10","165.91",""
"2023-01-16 04","166.14","164.96",""
"2023-01-16 05","166.14","164.96",""
"2023-01-16 06","171.64","170.42",""
"2023-01-16 07","190.01","188.66",""
"2023-01-16 08","179.12","177.84",""
"2023-01-16 09","98.69","98.29",""
"2023-01-16 10","135.20","134.65",""
"2023-01-16 11","18.99","18.92",""
"2023-01-16 12","0.00","0.00",""
"2023-01-16 13","0.00","0.00",""
"2023-01-16 14","0.00","0.00",""
"2023-01-16 15","0.00","0.00",""
"2023-01-16 16","0.00","0.00",""
"2023-01-16 17","0.00","0.00",""
"2023-01-16 18","0.00","0.00",""
"2023-01-16 19","0.00","0.00",""
"2023-01-16 20","70.46","69.34",""
"2023-01-16 21","174.57","171.80",""
"2023-01-16 22","160.05","157.53",""
"2023-01-16 23","160.05","157.53",""
"2023-01-16 24","160.05","157.53",""
"2023-01-17 01","188.49","187.63",""
"2023-01-17 02","188.49","187.63",""
"2023-01-17 03","169.21","168.44",""
"2023-01-17 04","162.78","162.04",""
"2023-01-17 05","157.96","157.24",""
"2023-01-17 06","169.42","168.65",""
"2023-01-17 07","188.49","187.63",""
"2023-01-17 08","169.97","169.20",""
"2023-01-17 09","62.41","62.05",""
"2023-01-17 10","0.00","0.00",""
"2023-01-17 11","61.86","61.50",""
"2023-01-17 12","53.92","53.60",""
"2023-01-17 13","0.00","0.00",""
"2023-01-17 14","0.00","0.00",""
"2023-01-17 15","0.00","0.00",""
"2023-01-17 16","0.00","0.00",""
"2023-01-17 17","0.00","0.00",""
"2023-01-17 18","0.00","0.00",""
"2023-01-17 19","0.00","0.00",""
"2023-01-17 20","113.94","111.72",""
"2023-01-17 21","194.58","190.78",""
"2023-01-17 22","196.54","192.71",""
"2023-01-17 23","200.46","196.55",""
"2023-01-17 24","200.46","196.55",""
"2023-01-18 01","204.63","202.75",""
"2023-01-18 02","178.03","176.39",""
"2023-01-18 03","151.57","150.17",""
"2023-01-18 04","151.57","150.17",""
"2023-01-18 05","157.29","155.84",""
"2023-01-18 06","175.48","173.86",""
"2023-01-18 07","181.90","180.23",""
"2023-01-18 08","157.78","156.33",""
"2023-01-18 09","27.95","27.76",""
"2023-01-18 10","0.00","0.00",""
"2023-01-18 11","0.00","0.00",""
"2023-01-18 12","0.00","0.00",""
"2023-01-18 13","0.00","0.00",""
"2023-01-18 14","0.00","0.00",""
"2023-01-18 15","0.00","0.00",""
"2023-01-18 16","0.00","0.00",""
"2023-01-18 17","0.00","0.00",""
"2023-01-18 18","0.00","0.00",""
"2023-01-18 19","0.00","0.00",""
"2023-01-18 20","126.26","123.97",""
"2023-01-18 21","195.75","192.21",""
"2023-01-18 22","195.75","192.21",""
"2023-01-18 23","191.54","188.08",""
"2023-01-18 24","176.33","173.13",""
"2023-01-19 01","192.97","192.16",""
"2023-01-19 02","192.97","192.16",""
"2023-01-19 03","177.01","176.28",""
"2023-01-19 04","173.43","172.71",""
