Hora;G solar;CMg;;
17;9,092102939;0,00;;
18;8,401225972;0,00;;
19;7,278301243;0,00;;
20;4,923942669;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,179483867;0,00;;
9;0,589090377;0,00;;
10;1,049880693;0,00;;
11;1,624627804;0,00;;
12;2,221882149;0,00;;
13;3,209463772;0,00;;
14;5,837994585;0,00;;
15;7,474370148;0,00;;
16;9,443070791;0,00;;
17;9,059438335;0,00;;
18;8,479467358;0,00;;
19;7,290087182;0,00;;
20;4,914415539;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,171368315;0,00;;
9;0,604299268;0,00;;
10;1,159345507;0,00;;
11;1,663844259;0,00;;
12;2,703222627;0,00;;
13;4,905186495;0,00;;
14;9,602435773;0,00;;
15;9,550437155;0,00;;
16;9,454455337;0,00;;
17;9,138679161;0,00;;
18;8,507101806;0,00;;
19;7,36197656;0,00;;
20;4,933641622;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;5,517065064;0,00;;
9;7,521877884;0,00;;
10;8,500018254;0,00;;
11;9,088298774;0,00;;
12;9,437321992;0,00;;
13;9,534735355;0,00;;
14;9,643061408;0,00;;
15;9,536233712;0,00;;
16;9,402025517;0,00;;
17;9,16801962;0,00;;
18;8,495320183;0,00;;
19;7,343977723;0,00;;
20;4,903072605;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,238827348;0,00;;
9;0,987543418;0,00;;
10;8,412781539;0,00;;
11;9,005980716;0,00;;
12;9,423322298;0,00;;
13;9,4988967;0,00;;
14;9,626971302;0,00;;
15;9,480405588;0,00;;
16;9,371812246;0,00;;
17;9,112307621;0,00;;
18;8,468734515;0,00;;
19;7,307158086;0,00;;
20;4,889300434;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,198206085;0,00;;
9;0,611761636;0,00;;
10;1,314179193;0,00;;
11;2,516057464;0,00;;
12;9,358714355;0,00;;
13;9,56448234;0,00;;
14;9,614524706;0,00;;
15;9,562233148;0,00;;
16;9,357105275;0,00;;
17;9,083515065;0,00;;
18;8,480737528;0,00;;
19;7,253672392;0,00;;
20;4,833563927;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,207753746;0,00;;
9;0,961823553;0,00;;
10;8,397760519;0,00;;
11;8,775334344;0,00;;
12;9,30111149;0,00;;
13;9,499717337;0,00;;
14;9,49889498;0,00;;
15;9,415217942;0,00;;
16;9,247449248;0,00;;
17;8,999204134;0,00;;
18;8,358532319;0,00;;
19;7,245032809;0,00;;
20;4,811164047;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;5,205784042;0,00;;
9;7,304673164;0,00;;
10;8,227497187;0,00;;
11;8,849763556;0,00;;
12;9,28038681;0,00;;
13;9,340345303;0,00;;
14;9,457959428;0,00;;
15;9,409698092;0,00;;
16;9,255288303;0,00;;
17;8,969343042;0,00;;
18;8,345842052;0,00;;
19;7,174518543;0,00;;
20;4,742619062;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;5,161624676;0,00;;
9;7,294253989;0,00;;
10;8,245862868;0,00;;
11;8,721409185;0,00;;
12;9,23366653;0,00;;
13;9,373494426;0,00;;
14;9,457065324;0,00;;
15;9,32819221;0,00;;
16;9,214803709;0,00;;
17;8,942863275;0,00;;
18;8,325820123;0,00;;
19;7,157249769;0,00;;
20;4,707822095;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;5,160593381;0,00;;
9;7,284841277;0,00;;
10;8,230904374;0,00;;
11;8,787231655;0,00;;
12;9,105855227;0,00;;
13;9,321655208;0,00;;
14;9,284320904;0,00;;
15;9,352146373;0,00;;
16;9,170223843;0,00;;
17;8,879106074;0,00;;
18;8,270097716;0,00;;
19;7,125368081;0,00;;
20;4,663726946;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,157224859;0,00;;
9;0,697627949;0,00;;
10;2,556253772;0,00;;
11;4,108170566;0,00;;
12;5,546260888;0,00;;
13;9,258012411;0,00;;
14;9,340121559;0,00;;
15;9,361981008;0,00;;
16;9,261109032;0,00;;
17;8,936926408;0,00;;
18;8,318445605;0,00;;
19;7,183678899;0,00;;
20;4,65941295;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;5,125996821;0,00;;
9;7,34001812;0,00;;
10;8,255253625;0,00;;
11;8,609505827;0,00;;
12;9,256313041;0,00;;
13;9,414527757;0,00;;
14;9,342044137;0,00;;
15;9,416147779;0,00;;
16;9,291753251;0,00;;
17;8,945260065;0,00;;
18;8,353759073;0,00;;
19;7,183504297;0,00;;
20;4,662180913;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
