Hora;G solar;;
8;1,55190409;;
9;3,307947984;;
10;6,31264366;;
11;23,41928588;;
12;23,93370585;;
13;24,05881176;;
14;23,92808287;;
15;23,41526319;;
16;22,73128766;;
17;21,22434383;;
18;18,15668098;;
19;12,10640981;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,541884365;;
8;2,427058882;;
9;21,0169013;;
10;21,96083586;;
11;23,27527873;;
12;23,77179334;;
13;23,76973745;;
14;23,56054485;;
15;23,14112312;;
16;22,52051033;;
17;20,9188308;;
18;18,13508203;;
19;12,05041011;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;13,03696011;;
8;18,28418291;;
9;20,59124297;;
10;22,14690889;;
11;23,22346703;;
12;23,37336326;;
13;23,66739857;;
14;23,54674523;;
15;23,16072076;;
16;22,4458576;;
17;20,88710513;;
18;17,95879635;;
19;11,87904766;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;12,92656169;;
8;18,25813498;;
9;20,63715717;;
10;21,82602296;;
11;23,10666632;;
12;23,45623607;;
13;23,66516331;;
14;23,34298053;;
15;23,05950927;;
16;22,37965818;;
17;20,83705031;;
18;17,91562442;;
19;11,79205524;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;12,92398345;;
8;18,23460319;;
9;20,59976093;;
10;21,99057914;;
11;22,78713807;;
12;23,32663802;;
13;23,23330226;;
14;23,40286593;;
15;22,94805961;;
16;22,22026519;;
17;20,69774429;;
18;17,8359202;;
19;11,68181736;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,415562147;;
8;1,766569874;;
9;6,413134431;;
10;10,29292642;;
11;13,88815222;;
12;23,16753103;;
13;23,3728039;;
14;23,42745252;;
15;23,17527258;;
16;22,36481602;;
17;20,81861402;;
18;17,98169725;;
19;11,67103238;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;12,83749205;;
8;18,3725453;;
9;20,66063406;;
10;21,54626457;;
11;23,1632826;;
12;23,55881939;;
13;23,37761034;;
14;23,56286945;;
15;23,25188313;;
16;22,38565016;;
17;20,90689768;;
18;17,98126074;;
19;11,67795229;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;12,73991954;;
8;18,27401605;;
9;20,69859022;;
10;21,86342047;;
11;23,10382898;;
12;23,51029325;;
13;23,50142659;;
14;23,41817749;;
15;23,22964525;;
16;22,34437872;;
17;20,77867346;;
18;17,9329028;;
19;11,69361567;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,433918521;;
8;2,125286779;;
9;21,20430308;;
10;22,37876537;;
11;23,20907694;;
12;23,35093007;;
13;23,61533792;;
14;23,49705144;;
15;23,03162285;;
16;22,55091609;;
17;20,99749981;;
18;17,98746692;;
19;11,61207219;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,381429821;;
8;1,492513074;;
9;3,125557463;;
10;6,398142227;;
11;23,2714073;;
12;23,6651625;;
13;23,61588786;;
14;23,46279639;;
15;23,03578617;;
16;22,55744035;;
17;21,09878071;;
18;18,2315662;;
19;11,89339064;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,42618395;;
8;2,130537238;;
9;20,85919481;;
10;22,00572557;;
11;22,88108825;;
12;23,68157406;;
13;23,43679337;;
14;23,53706024;;
15;23,11159944;;
16;22,19003584;;
17;20,87485168;;
18;18,07534355;;
19;11,66025;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;12,33517498;;
8;18,34624015;;
9;20,86270217;;
10;21,7087797;;
11;23,09796257;;
12;23,50006681;;
13;23,45069974;;
14;23,42348609;;
15;23,34544295;;
16;22,39355832;;
17;20,94554425;;
18;18,07159343;;
19;11,54831969;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;12,70504231;;
8;18,64244438;;
9;21,33239667;;
10;22,736239;;
11;23,41401125;;
12;23,85056251;;
13;24,10204441;;
14;23,76761807;;
15;23,62733614;;
16;22,92862748;;
17;21,36253499;;
18;18,36822299;;
19;11,65559418;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,402057273;;
8;2,265388176;;
9;21,56147647;;
10;22,97407748;;
11;23,37699482;;
12;24,01516511;;
13;24,06726476;;
14;24,10050367;;
15;23,75189355;;
16;23,14031956;;
17;21,45132934;;
18;18,57128273;;
19;11,83635076;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;12,47805824;;
8;18,65650794;;
9;21,19619156;;
10;22,49826656;;
11;23,42825372;;
12;23,7087616;;
13;18,81569084;;
14;17,7923803;;
15;23,41626611;;
16;22,68972331;;
17;21,26190599;;
18;18,31671274;;
19;11,63054359;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;12,10305382;;
8;18,24071795;;
9;20,76696868;;
10;21,94756595;;
11;23,10948947;;
12;23,54997131;;
13;23,41101984;;
14;23,61359052;;
15;23,0816041;;
16;22,38664332;;
17;20,95236509;;
18;18,09408109;;
19;11,35884512;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;11,94384354;;
8;18,06444864;;
9;20,76973996;;
10;22,38346492;;
11;23,30292684;;
12;23,6237829;;
13;23,63605509;;
14;23,39963678;;
15;23,10902607;;
16;22,59697303;;
17;21,10156483;;
18;18,14086801;;
19;11,13709064;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
