Hora;G solar;;Fact;0,907407407
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,314413479;;;
8;4,594649803;;;
9;7,995310931;;;
10;8,636816342;;;
11;8,796055273;;;
12;8,811220886;;;
13;8,85216804;;;
14;8,806671202;;;
15;8,445729624;;;
16;7,855029015;;;
17;7,193504996;;;
18;7,548077017;;;
19;4,958245364;;;
20;0,493837842;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,307391801;;;
8;4,728107193;;;
9;8,048390575;;;
10;8,766482329;;;
11;8,908280806;;;
12;8,891598632;;;
13;8,91283049;;;
14;8,879466142;;;
15;8,82866134;;;
16;8,692170827;;;
17;8,39340826;;;
18;7,736737238;;;
19;5,119759137;;;
20;0,50156472;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,279221675;;;
8;4,684430229;;;
9;8,033224962;;;
10;8,679280057;;;
11;8,888565509;;;
12;8,884774106;;;
13;8,916621893;;;
14;8,888565509;;;
15;8,843068672;;;
16;8,704303317;;;
17;8,029433559;;;
18;7,65484293;;;
19;5,146298959;;;
20;0,497280435;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,254304574;;;
8;4,598744518;;;
9;8,045357453;;;
10;8,733117981;;;
11;8,952261082;;;
12;8,927237822;;;
13;8,835485866;;;
14;8,153791582;;;
15;7,233769697;;;
16;7,210262998;;;
17;5,912844845;;;
18;6,215626299;;;
19;3,950187098;;;
20;0,413869567;;;
21;-0,011374209;;;
22;-0,011374209;;;
23;-0,011374209;;;
0;-0,011374209;;;
1;-0,011374209;;;
2;-0,011374209;;;
3;-0,011374209;;;
4;-0,011374209;;;
5;-0,011374209;;;
6;-0,011374209;;;
7;0,249353001;;;
8;3,166352414;;;
9;6,489062293;;;
10;8,642124306;;;
11;8,845343514;;;
12;8,865817091;;;
13;8,916621893;;;
14;8,882499265;;;
